id;kitchen_id;customer_id;customer_cart_id;menu_item_id;menu_item_name;menu_item_code;meal_id;line_number;request_date;message;created_date
1;64955;46526;50337;22083;Auto Korea Practical;Berkshire Intelligent bricks-and-clicks;57944;541;2022-11-11;Handmade web-enabled;2022-11-10
2;33836;61363;25541;44584;Central;Generic middleware;35429;68384;2022-11-11;Handmade Officer Freeway;2022-11-11
3;86536;79781;14767;82400;Program invoice enterprise;copy Court;20930;31863;2022-11-10;cross-platform Licensed strategy;2022-11-11
4;60444;65307;34869;3764;Forward;algorithm invoice Rustic;38927;19594;2022-11-11;platforms Senior;2022-11-11
5;22821;22440;33485;63383;conglomeration;Games B2B Marino;77609;14161;2022-11-11;Macedonia;2022-11-11
6;98496;77004;43777;41049;Islands Salad;e-tailers;87935;52500;2022-11-11;Account hierarchy;2022-11-11
7;22210;99693;83807;88017;Guilder;end-to-end Directives Ranch;38005;25936;2022-11-11;ROI;2022-11-10
8;73694;82520;11760;44727;capacitor Granite Alaska;Beauty azure deposit;88399;15566;2022-11-10;Israeli synthesize deposit;2022-11-11
9;764;45843;62802;33984;process parsing;Drives Avon Lithuanian;40567;75154;2022-11-10;Hat;2022-11-11
10;44892;75580;26732;97179;Consultant array Ethiopian;Fantastic Mouse;55026;11438;2022-11-10;wireless;2022-11-10
