id;kitchen_id;status_changed_date;transaction_date;type;created_date
1;64705;2022-11-11;2022-11-11;ONTHEWAY;2022-11-11
2;25678;2022-11-11;2022-11-10;CANCELLED;2022-11-11
3;75967;2022-11-10;2022-11-11;ONTHEWAY;2022-11-11
4;87547;2022-11-10;2022-11-11;READYTOPICKUP;2022-11-10
5;6425;2022-11-11;2022-11-11;READYTOPICKUP;2022-11-11
6;16883;2022-11-10;2022-11-10;PREPARING;2022-11-11
7;61423;2022-11-11;2022-11-10;PREPARING;2022-11-10
8;1074;2022-11-10;2022-11-11;ONTHEWAY;2022-11-11
9;12532;2022-11-11;2022-11-10;READYTOPICKUP;2022-11-11
10;42015;2022-11-11;2022-11-10;PREPARING;2022-11-11
